"Tektronix MSO2014, version v1.56, serial number C010045"
"Bus Definition: CAN"
 Time, Identifier, DLC, Data, CRC, Missing Ack
-2.608000e-04, 1241C3E8, 4, 08  00  01  00 , 7AF,  
5.952000e-04, 1621C3E8, 8, A6  C0  08  00  1D  00  00  00 , 4D9B,  
1.724800e-03, 1812C0A6, 8, 08  00  00  00  00  00  00  00 , 7AB,  
2.892800e-03, 160BC0A6, 8, E8  C3  1D  00  00  00  10  00 , 3909,  
4.234880e-02, 1A02C0A6, 8, A6  78  DF  10  00  10  00  00 , 1FB5,  
7.058880e-02, 1622C0A6, 8, A6  C0  08  00  1D  00  00  0A , 254B,  
1.337408e-01, 1611C3E8, 4, A6  C0  08  00 , 2EC1,  
2.837424e-01, 1241C3E8, 4, 08  00  01  00 , 7AF,  
2.845984e-01, 1621C3E8, 8, A6  C0  08  00  1D  00  00  00 , 4D9B,  
2.857264e-01, 1812C0A6, 8, 08  00  00  00  00  00  00  00 , 7AB,  
2.868960e-01, 160BC0A6, 8, E8  C3  1D  00  00  00  10  00 , 3909,  
3.514864e-01, 1622C0A6, 8, A6  C0  08  00  1D  00  00  0A , 254B,  
4.347968e-01, 1816C0A6, 8, 08  00  00  03  00  00  00  00 , 4BCD,  
4.627424e-01, 1241C3E8, 4, 08  00  01  00 , 7AF,  
4.635984e-01, 1621C3E8, 8, A6  C0  08  00  1D  00  00  00 , 4D9B,  
4.647264e-01, 1812C0A6, 8, 08  00  00  00  00  00  00  00 , 7AB,  
4.658960e-01, 160BC0A6, 8, E8  C3  1D  00  00  00  10  00 , 3909,  
5.242544e-01, 1622C0A6, 8, A6  C0  08  00  1D  00  00  0A , 254B,  
5.442784e-01, 1622C0A6, 8, A6  C0  08  00  1D  00  00  0A , 254B,  
5.543520e-01, 1A02C0A6, 8, A6  78  DF  10  00  01  00  00 , C82,  
5.563600e-01, 1816C0A6, 8, 08  00  00  01  00  00  00  00 , 4184,  
6.087440e-01, 1240C3E8, 2, 08  00 , 2189,  
6.094496e-01, 1200C3E8, 2, 08  00 , 787D,  
6.103776e-01, 1203C0A6, 8, 08  00  00  00  E8  C3  12  D7 , 1F68,  
6.117472e-01, 1204C3E8, 2, 08  00 , 4C84,  
6.124992e-01, 1207C0A6, 6, 08  00  41  1C  04  00 , 3DE,  
6.137488e-01, 1208C3E8, 2, 08  00 , 118F,  
6.144928e-01, 120BC0A6, 8, 08  00  00  00  00  00  E8  C3 , 2AFF,  
7.137408e-01, 120CC3E8, 2, 08  00 , 2576,  
7.145184e-01, 120FC0A6, 8, 08  00  01  00  00  00  E8  C3 , 1514,  
7.157424e-01, 1214C3E8, 4, 08  00  01  00 , 4B8F,  
7.166304e-01, 1217C0A6, 6, 08  00  01  00  00  00 , 649D,  
7.177440e-01, 1214C3E8, 4, 08  00  02  00 , 427C,  
7.186320e-01, 1217C0A6, 6, 08  00  02  00  00  00 , 4795,  
7.463440e-01, 1802C0A6, 8, 02  00  00  01  A8  36  7B  00 , 5836,  
8.607456e-01, 1241C3E8, 4, 08  00  01  00 , 7AF,  
8.616016e-01, 1621C3E8, 8, A6  C0  08  00  1C  00  00  00 , 5363,  
8.627392e-01, 1812C0A6, 8, 08  00  00  00  00  00  00  00 , 7AB,  
8.639072e-01, 160BC0A6, 8, E8  C3  1C  00  00  00  10  00 , 2725,  
9.212592e-01, 1622C0A6, 8, A6  C0  08  00  1C  00  00  03 , A2D,  
1.032747e+00, 1241C3E8, 4, 08  00  01  00 , 7AF,  
1.033603e+00, 1621C3E8, 8, A6  C0  08  00  1C  00  00  00 , 5363,  
1.034741e+00, 1812C0A6, 8, 08  00  00  00  00  00  00  00 , 7AB,  
1.035909e+00, 160BC0A6, 8, E8  C3  1C  00  00  00  10  00 , 2725,  
1.068165e+00, 1A02C0A6, 8, A6  78  DF  10  00  10  00  00 , 1FB5,  
1.093013e+00, 1622C0A6, 8, A6  C0  08  00  1C  00  00  03 , A2D,  
1.267749e+00, 1241C3E8, 4, 08  00  01  00 , 7AF,  
1.268606e+00, 1621C3E8, 8, A6  C0  08  00  08  00  00  00 , 4C31,  
1.269750e+00, 1812C0A6, 8, 08  00  00  00  00  00  00  00 , 7AB,  
1.270918e+00, 160BC0A6, 8, E8  C3  08  00  00  00  10  00 , 3667,  
1.315350e+00, 1622C0A6, 8, A6  C0  08  00  08  00  00  91 , 5450,  
1.370590e+00, 1622C0A6, 8, A6  C0  08  00  08  00  00  91 , 5450,  
1.402686e+00, 1816C0A6, 8, 08  00  00  01  00  00  00  00 , 4184,  
1.426750e+00, 1241C3E8, 4, 08  00  01  00 , 7AF,  
1.427608e+00, 1621C3E8, 8, A6  C0  08  00  08  00  00  00 , 4C31,  
1.428752e+00, 1812C0A6, 8, 08  00  00  00  00  00  00  00 , 7AB,  
1.429920e+00, 160BC0A6, 8, E8  C3  08  00  00  00  10  00 , 3667,  
1.484256e+00, 1816C0A6, 8, 08  00  00  03  00  00  00  00 , 4BCD,  
1.538624e+00, 1622C0A6, 8, A6  C0  08  00  08  00  00  91 , 5450,  
1.580150e+00, 1A02C0A6, 8, A6  78  DF  10  00  01  00  00 , C82,  
1.599750e+00, 1241C3E8, 4, 08  00  01  00 , 7AF,  
1.600608e+00, 1621C3E8, 8, A6  C0  08  00  07  00  00  00 , 2680,  
1.601760e+00, 1812C0A6, 8, 08  00  00  00  00  00  00  00 , 7AB,  
1.602930e+00, 160BC0A6, 8, E8  C3  07  00  00  00  10  00 , 585A,  
1.705776e+00, 1622C0A6, 8, A6  C0  08  00  07  00  00  25 , 3284,  
1.761550e+00, 1816C0A6, 8, 03  00  00  03  00  00  00  00 , 53D2,  
1.762704e+00, 1816C0A6, 8, 03  00  00  01  00  00  00  00 , 599B,  
1.774152e+00, 1802C0A6, 8, 01  00  00  01  08  37  DC  00 , 28E6,  
